Date,Day,Person,Core,Layer,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm
3/15/2021,Monday,Emily,9,plant,2,,14:53,1:26:00,86,16:19,10,680,9&8,
3/15/2021,Monday,Emily,9,organic,2,,14:54,1:28:00,88,16:22,11,966,12&10,
3/15/2021,Monday,Emily,9,mineral,2,,14:54,1:30:00,90,16:24,12,739,8&9,
3/15/2021,Monday,Emily,14A,plant,2,,14:54,1:33:00,93,16:27,13,875,10&9,
3/15/2021,Monday,Emily,14A,organic,2,,14:54,1:35:00,95,16:29,14,793,9&8,
3/15/2021,Monday,Emily,16,plant,2,,14:55,1:36:00,96,16:31,15,788,8&8,
3/15/2021,Monday,Emily,16,organic,2,,14:55,1:38:00,98,16:33,16,656,9&10,
3/15/2021,Monday,Emily,16,mineral,2,,14:55,1:40:00,100,16:35,17,678,9&10,461
,,,,,,,,,,,,,,
3/18/2021,Thursday,Jillian,3A,plant,2,42.23,14:26,1:00:00,60,15:26,1,827,"9, 22.5C in lab, replaced soda lime",
3/18/2021,Thursday,Jillian,3A,organic,2,45.52,14:26,1:02:00,62,15:28,2,618,8,
3/18/2021,Thursday,Jillian,3A,mineral,2,43.81,14:26,1:04:00,64,15:30,3,546,8,
3/18/2021,Thursday,Jillian,7B,plant,2,43.17,14:28,1:05:00,65,15:33,4,924,8,
3/18/2021,Thursday,Jillian,7B,organic top,2,45.71,14:28,1:07:00,67,15:35,5,945,8,
3/18/2021,Thursday,Jillian,7B,organic bottom,2,46.36,14:28,1:10:00,70,15:38,6,982,7,
3/18/2021,Thursday,Jillian,8A,plant,2,43.6,14:30,1:10:00,70,15:40,7,828,7,
3/18/2021,Thursday,Jillian,8A,organic,2,45.3,14:30,1:12:00,72,15:42,8,569,7,
3/18/2021,Thursday,Jillian,8A,mineral,2,45.21,14:30,1:15:00,75,15:45,9,448,8,
3/18/2021,Thursday,Jillian,9,plant,2,41.36,14:31,1:16:00,76,15:47,10,673,7,
3/18/2021,Thursday,Jillian,9,organic,2,45.32,14:31,1:18:00,78,15:49,11,1004,7,
3/18/2021,Thursday,Jillian,9,mineral,2,48.38,14:31,1:20:00,80,15:51,12,607,7,
3/18/2021,Thursday,Jillian,14A,plant,2,43.62,14:33,1:20:00,80,15:53,13,807,8,
3/18/2021,Thursday,Jillian,14A,organic,2,40.98,14:33,1:22:00,82,15:55,14,704,7,
3/18/2021,Thursday,Jillian,16,plant,2,42.49,14:36,1:22:00,82,15:58,15,766,7,
3/18/2021,Thursday,Jillian,16,organic,2,45.67,14:36,1:25:00,85,16:01,16,623,6,
3/18/2021,Thursday,Jillian,16,mineral,2,44.53,14:36,1:28:00,88,16:04,17,569,7,
3/18/2021,Thursday,Jillian,1C,plant,1,42.55,14:54,1:14:00,74,16:08,18,676,8,
3/18/2021,Thursday,Jillian,1C,organic,1,42.98,14:54,1:15:00,75,16:09,19,531,8,
3/18/2021,Thursday,Jillian,1C,mineral,1,44.09,14:54,1:17:00,77,16:11,20,428,8,
3/18/2021,Thursday,Jillian,4B,plant,1,42.65,14:56,1:18:00,78,16:14,21,626,7,
3/18/2021,Thursday,Jillian,4B,organic top,1,46.85,14:56,1:20:00,80,16:16,22,688,7,
3/18/2021,Thursday,Jillian,4B,organic bottom,1,40.37,14:56,1:22:00,82,16:18,23,530,7,
3/18/2021,Thursday,Jillian,6B,plant,1,43.24,14:58,1:23:00,83,16:21,24,594,7,
3/18/2021,Thursday,Jillian,6B,organic,1,44.42,14:58,1:25:00,85,16:23,25,640,7,
3/18/2021,Thursday,Jillian,6B,mineral,1,48.07,14:58,1:27:00,87,16:25,26,494,7,
3/18/2021,Thursday,Jillian,10,plant,1,42.59,14:59,1:28:00,88,16:27,27,674,7,
3/18/2021,Thursday,Jillian,10,organic,1,44.67,14:59,1:30:00,90,16:29,28,538,7,
3/18/2021,Thursday,Jillian,13,plant,1,42.68,15:00,1:31:00,91,16:31,29,867,6,
3/18/2021,Thursday,Jillian,13,organic,1,45.35,15:01,1:32:00,92,16:33,30,514,7,
3/18/2021,Thursday,Jillian,13,mineral,1,46.49,15:01,1:35:00,95,16:36,31,467,7,
3/18/2021,Thursday,Jillian,15,plant,1,43.12,15:03,1:35:00,95,16:38,32,643,8,
3/18/2021,Thursday,Jillian,15,organic,1,45.36,15:03,1:37:00,97,16:40,33,687,"8, 22.6 in lab",482
,,,,,,,,,,,,,,
3/22/2021,Monday,Emily,1C,plant,1,42.51,13:26,1:01:00,61,14:27,1,680,"9 & 9, 22.5C in lab",429
3/22/2021,Monday,Emily,1C,organic,1,42.89,13:26,1:05:00,65,14:31,2,524,8&8,
3/22/2021,Monday,Emily,1C,mineral,1,44.01,13:26,1:07:00,67,14:33,3,500,10&10,
3/22/2021,Monday,Emily,4B,plant,1,42.67,13:27,1:09:00,69,14:36,4,629,8&8,
3/22/2021,Monday,Emily,4B,organic top,1,46.67,13:27,1:11:00,71,14:38,5,688,8&7,
3/22/2021,Monday,Emily,4B,organic bottom,1,40.25,13:27,1:13:00,73,14:40,6,621,9&8,
3/22/2021,Monday,Emily,6B,plant,1,43.14,13:28,1:15:00,75,14:43,7,659,9&8,
